timestamp,tx_type,received_amount,received_currency,sent_amount,sent_currency,fee,fee_currency,comment,txid,url,exchange,wallet_address
2022-10-11 16:12:22,TRANSFER,0.000069000,ALGO,,,,,,gyN+Y5GUEPgG7kYihJlGW9G2y6aSzoLTSE/kWaxF5eU=,https://algoexplorer.io/tx/group/gyN%2BY5GUEPgG7kYihJlGW9G2y6aSzoLTSE/kWaxF5eU%3D,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-10-10 01:08:57,TRANSFER,0.000001000,ALGO,,,,,,KhDdPB11wbMTL+NzOLEg5llvrZEu3fHOOuYX8eD7Qm8=,https://algoexplorer.io/tx/group/KhDdPB11wbMTL%2BNzOLEg5llvrZEu3fHOOuYX8eD7Qm8%3D,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-07-03 07:59:42,TRANSFER,0.001,ALGO,,,,,,SSKHSG7DY5GLTKRWHISDPYLBLILYMVLQLWTUGIV2DKVYHU5IUDPA,https://algoexplorer.io/tx/SSKHSG7DY5GLTKRWHISDPYLBLILYMVLQLWTUGIV2DKVYHU5IUDPA,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-07-03 07:59:42,STAKING,0.000056000,ALGO,,,,,Participation Rewards,SSKHSG7DY5GLTKRWHISDPYLBLILYMVLQLWTUGIV2DKVYHU5IUDPA,https://algoexplorer.io/tx/SSKHSG7DY5GLTKRWHISDPYLBLILYMVLQLWTUGIV2DKVYHU5IUDPA,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-07-03 07:58:54,TRANSFER,3.0,FISH,,,,,,LPDJRQXH45KBONKDKBE4K5C4XTL2GGNPNFEEY2X3E53FQEJ2SWAQ,https://algoexplorer.io/tx/LPDJRQXH45KBONKDKBE4K5C4XTL2GGNPNFEEY2X3E53FQEJ2SWAQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-04-10 17:33:02,TRANSFER,,,168.753416,ALGO,0.001,ALGO,,7EZRMYUWV66VVMHFAT7SNFDIVM4W2F6OFBFDUQHP2LDKKXJ4PBTQ,https://algoexplorer.io/tx/7EZRMYUWV66VVMHFAT7SNFDIVM4W2F6OFBFDUQHP2LDKKXJ4PBTQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-04-10 17:19:58,STAKING,0.00153,ALGO,,,0.001000,ALGO,Participation Rewards,JCG44NMIBGVBHII3D4C7V4JWXPOAK2KR6VLD5XSQ4EIMPSMPVOHQ,https://algoexplorer.io/tx/JCG44NMIBGVBHII3D4C7V4JWXPOAK2KR6VLD5XSQ4EIMPSMPVOHQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-04-05 16:49:35,STAKING,2.254598,ALGO,,,0,ALGO,Governance,Z2NPALDLAZJ42HBBJTI6WUDIJIO7JROIECL5PJABY2QUOOPPIZRA,https://algoexplorer.io/tx/group/DOQCuClMKI1L3LJorOsxDaY2AVTWuBDJxoY1H/Q0spc%3D,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-03-31 10:43:00,TRANSFER,0.001,ALGO,,,,,,WOEYKNURCWZ67AS7DELARPFNLDDXGNHBL3365I6SX3U3DWRRDOMQ,https://algoexplorer.io/tx/WOEYKNURCWZ67AS7DELARPFNLDDXGNHBL3365I6SX3U3DWRRDOMQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
2022-03-31 10:43:00,STAKING,0.006552,ALGO,,,,,Participation Rewards,WOEYKNURCWZ67AS7DELARPFNLDDXGNHBL3365I6SX3U3DWRRDOMQ,https://algoexplorer.io/tx/WOEYKNURCWZ67AS7DELARPFNLDDXGNHBL3365I6SX3U3DWRRDOMQ,algorand_blockchain,U5QSMO4HC7R2T3D3K4ODH3CHHISYSXRGWXR7EIL5FKLYH2P25SIG2TKT7A
